state,ev,biden,trump,other
AK,3,42.771952271020496,52.83314327038078,0.7324840764331211
AL,9,36.569990212122335,62.031643166864804,0.6991833105064301
AR,6,34.77506195301496,62.39572985614432,0.2572007446218832
AZ,11,49.364690614366616,49.05598103046474,0.2632213925281082
CA,55,63.48394689387351,34.32072362528492,0.24392549787128495
CO,9,55.01106714065329,41.60412563491241,0.16118129640163312
CT,7,59.26073151568352,39.187118288330716,0.12934584966548
DC,3,92.14969392140692,5.397321376714795,0.4905969403756577
DE,3,58.743005793641665,39.774876771105546,0.07800618080277805
FL,29,47.86145072544223,51.21981962250403,0.08352087745943028
GA,16,49.473055784446274,49.2374738997912,0.07585119504485448
HI,4,63.14937976901742,33.95471416941482,0.4826510102612927
IA,6,44.64723285866375,52.80019763194579,0.2552569509390458
ID,4,33.06640215480395,63.837564831903634,0.2381563856378779
IL,20,57.54164537667581,40.55345081817372,0.105827989175026
IN,11,40.96167705971215,57.02115776570512,0.1680970978818936
KS,6,41.55955353883217,56.212512834264736,2.2279336269030963
KY,8,36.15151481115404,62.08657186929044,0.13553179381196273
LA,8,39.85145680152621,58.46088241400853,0.15342370767865934
MA,11,65.12298370286535,31.90815758863096,0.7422146771259197
MD,10,65.36066486007711,32.15029156774876,0.10371014884058877
ME,4,52.525579345772385,43.551228110418265,0.7846385087618691
MI,16,50.62081829082437,47.83729069113762,0.17132122422644586
MN,10,52.39509930974001,45.28494240916937,0.2899947851363264
MO,10,41.40878173618836,56.79965577888949,0.2239453106152688
MS,6,41.05760645597861,57.60295457538255,0.19134842409126354
MT,3,40.54936936160908,56.91846924002027,0.5064322796741287
NC,15,48.58621177736324,49.93433248829551,0.29589114686824974
ND,3,31.756762359080092,65.11404873707572,1.5645944519220936
NE,5,39.166630941787965,58.22416333205421,1.3046028630789128
NH,4,52.70782528014766,45.3562595046776,0.09218643881784463
NJ,14,57.334196752812986,41.396523857348505,0.2115465649730852
NM,5,54.289285849572224,43.49666924612946,0.5535112260745808
NV,6,50.056781957284024,47.66624732455941,0.7589902393855215
NY,29,60.391884535834905,37.46129384009093,0.09758280109428003
OH,18,45.239338340705025,53.27130010087464,0.18617019480254135
OK,7,32.28617433598664,65.37327184806296,0.5851384539876042
OR,7,56.45331865404888,40.367246046343354,0.7948588249019404
PA,20,50.00849567544814,48.84361204017247,1.1478922843793955
RI,4,59.476198765933574,38.670380471575854,0.4633551906226426
SC,9,43.41683849781393,55.09348091719648,0.37242014624739866
SD,3,35.60525213613529,61.76938967225024,2.625358191614471
TN,11,37.4514342710237,60.66029416628381,0.17166105115386204
TX,38,46.47900991387051,52.05760360355265,0.133035134779713
UT,6,37.64604858330606,58.129839029919594,0.35200936556452855
VA,13,54.109517177802424,43.99550366728214,0.9474895774577158
VT,3,65.45578055250049,30.38105712622113,0.18923465096719932
WA,12,57.97030113530306,38.766977743343276,0.6525442242707329
WI,10,49.44953686142774,48.822437319608824,0.15709325626940357
WV,5,29.696521244519612,68.63155192461606,0.835963415432164
WY,3,26.387866557990396,69.49978994840271,0.8224686987213783
